OW HW  553.0    0.9572    ! TIP3P water
HW HW  553.0    1.5136      TIP3P water
C  C   310.0    1.525       Junmei et al, 1999
C  CA  469.0    1.409       JCC,7,(1986),230; (not used any more in TYR)
C  CB  447.0    1.419       JCC,7,(1986),230; GUA
C  CM  410.0    1.444       JCC,7,(1986),230; THY,URA
C  CT  317.0    1.522       JCC,7,(1986),230; AA
C  N   490.0    1.335       JCC,7,(1986),230; AA
C  N*  424.0    1.383       JCC,7,(1986),230; CYT,URA
C  NA  418.0    1.388       JCC,7,(1986),230; GUA.URA
C  NC  457.0    1.358       JCC,7,(1986),230; CYT
C  O   570.0    1.229       JCC,7,(1986),230; AA,CYT,GUA,THY,URA
C  O2  656.0    1.250       JCC,7,(1986),230; GLU,ASP
C  OH  450.0    1.364       JCC,7,(1986),230; (not used any more for TYR) 
C  OS  450.0    1.323       Junmei et al, 1999
C  H4  367.0    1.080       Junmei et al, 1999
C  H5  367.0    1.080       Junmei et al, 1999
CA CA  469.0    1.400       JCC,7,(1986),230; BENZENE,PHE,TRP,TYR
CA CB  469.0    1.404       JCC,7,(1986),230; ADE,TRP
CA CM  427.0    1.433       JCC,7,(1986),230; CYT
CA CN  469.0    1.400       JCC,7,(1986),230; TRP
CA CT  317.0    1.510       JCC,7,(1986),230; PHE,TYR
CA HA  367.0    1.080       changed from 340. bsd on C6H6 nmodes; PHE,TRP,TYR
CA H4  367.0    1.080       changed from 340. bsd on C6H6 nmodes; no assigned
CA N2  481.0    1.340       JCC,7,(1986),230; ARG,CYT,GUA
CA NA  427.0    1.381       JCC,7,(1986),230; GUA
CA NC  483.0    1.339       JCC,7,(1986),230; ADE,CYT,GUA
CA OH  450.0    1.364       substituted for C OH in tyr 
CB CB  520.0    1.370       JCC,7,(1986),230; ADE,GUA
CB N*  436.0    1.374       JCC,7,(1986),230; ADE,GUA
CB NB  414.0    1.391       JCC,7,(1986),230; ADE,GUA
CB NC  461.0    1.354       JCC,7,(1986),230; ADE,GUA
CD HA  367.0    1.080       Junmei et al, 1999 
CD CD  469.0    1.400       Junmei et al, 1999
CD CM  549.0    1.350       Junmei et al, 1999
CD CT  317.0    1.510       Junmei et al, 1999
CK H5  367.0    1.080       changed from 340. bsd on C6H6 nmodes; ADE,GUA
CK N*  440.0    1.371       JCC,7,(1986),230; ADE,GUA
CK NB  529.0    1.304       JCC,7,(1986),230; ADE,GUA
CM CM  549.0    1.350       JCC,7,(1986),230; CYT,THY,URA
CM CT  317.0    1.510       JCC,7,(1986),230; THY
CM HA  367.0    1.080       changed from 340. bsd on C6H6 nmodes; CYT,URA
CM H4  367.0    1.080       changed from 340. bsd on C6H6 nmodes; CYT,URA
CM H5  367.0    1.080       changed from 340. bsd on C6H6 nmodes; not assigned
CM N*  448.0    1.365       JCC,7,(1986),230; CYT,THY,URA
CM OS  480.0    1.240       Junmei et al, 1999
CQ H5  367.0    1.080       changed from 340. bsd on C6H6 nmodes; ADE
CQ NC  502.0    1.324       JCC,7,(1986),230; ADE
CT CT  310.0    1.526       JCC,7,(1986),230; AA, SUGARS
